,hle-id,type,segment,activity,value,window
0,0,workload,"('W_Complete application|schedule', 'W_Complete application|start')","('workload', ('W_Complete application|schedule', 'W_Complete application|start'))",5.5,1
1,1,enter,"('W_Complete application|start', 'W_Complete application|suspend')","('enter', ('W_Complete application|start', 'W_Complete application|suspend'))",67,3
2,2,enter,"('W_Complete application|suspend', 'W_Complete application|resume')","('enter', ('W_Complete application|suspend', 'W_Complete application|resume'))",118,3
3,3,exit,"('W_Complete application|start', 'W_Complete application|suspend')","('exit', ('W_Complete application|start', 'W_Complete application|suspend'))",67,3
4,4,workload,"('W_Complete application|start', 'W_Complete application|suspend')","('workload', ('W_Complete application|start', 'W_Complete application|suspend'))",6.0,3
5,5,workload,"('W_Complete application|suspend', 'W_Complete application|resume')","('workload', ('W_Complete application|suspend', 'W_Complete application|resume'))",3.4285714285714284,3
6,6,workload,"('O_Create Offer', 'O_Created')","('workload', ('O_Create Offer', 'O_Created'))",9.76923076923077,4
7,7,workload,"('O_Created', 'O_Sent (mail and online)')","('workload', ('O_Created', 'O_Sent (mail and online)'))",8.307692307692308,4
8,8,workload,"('W_Call after offers|schedule', 'W_Call after offers|start')","('workload', ('W_Call after offers|schedule', 'W_Call after offers|start'))",6.769230769230769,4
9,9,workload,"('W_Call after offers|start', 'A_Complete')","('workload', ('W_Call after offers|start', 'A_Complete'))",6.769230769230769,4
10,10,workload,"('W_Complete application|resume', 'W_Complete application|suspend')","('workload', ('W_Complete application|resume', 'W_Complete application|suspend'))",8.25,4
11,11,workload,"('W_Complete application|suspend', 'W_Complete application|resume')","('workload', ('W_Complete application|suspend', 'W_Complete application|resume'))",3.75,6
12,12,enter,"('W_Complete application|resume', 'W_Complete application|suspend')","('enter', ('W_Complete application|resume', 'W_Complete application|suspend'))",80,8
13,13,exit,"('W_Complete application|resume', 'W_Complete application|suspend')","('exit', ('W_Complete application|resume', 'W_Complete application|suspend'))",80,8
14,14,workload,"('W_Complete application|complete', 'W_Call after offers|schedule')","('workload', ('W_Complete application|complete', 'W_Call after offers|schedule'))",4.7,8
15,15,workload,"('W_Complete application|resume', 'W_Complete application|suspend')","('workload', ('W_Complete application|resume', 'W_Complete application|suspend'))",8.0,8
16,16,enter,"('W_Call after offers|resume', 'W_Call after offers|suspend')","('enter', ('W_Call after offers|resume', 'W_Call after offers|suspend'))",252,10
17,17,enter,"('W_Call after offers|suspend', 'W_Call after offers|ate_abort')","('enter', ('W_Call after offers|suspend', 'W_Call after offers|ate_abort'))",153,10
18,18,enter,"('W_Complete application|schedule', 'W_Complete application|start')","('enter', ('W_Complete application|schedule', 'W_Complete application|start'))",77,10
19,19,exit,"('W_Call after offers|suspend', 'W_Call after offers|resume')","('exit', ('W_Call after offers|suspend', 'W_Call after offers|resume'))",240,10
20,20,exit,"('W_Call after offers|resume', 'W_Call after offers|suspend')","('exit', ('W_Call after offers|resume', 'W_Call after offers|suspend'))",252,10
21,21,exit,"('W_Complete application|schedule', 'W_Complete application|start')","('exit', ('W_Complete application|schedule', 'W_Complete application|start'))",77,10
22,22,handover,"('W_Validate application|suspend', 'W_Validate application|ate_abort')","('handover', ('W_Validate application|suspend', 'W_Validate application|ate_abort'))",2.3333333333333335,10
23,23,workload,"('W_Complete application|schedule', 'W_Complete application|start')","('workload', ('W_Complete application|schedule', 'W_Complete application|start'))",4.529411764705882,10
24,24,workload,"('W_Complete application|start', 'A_Concept')","('workload', ('W_Complete application|start', 'A_Concept'))",3.533333333333333,10
25,25,enter,"('W_Complete application|suspend', 'W_Complete application|resume')","('enter', ('W_Complete application|suspend', 'W_Complete application|resume'))",111,11
26,26,enter,"('W_Complete application|resume', 'W_Complete application|suspend')","('enter', ('W_Complete application|resume', 'W_Complete application|suspend'))",91,11
27,27,exit,"('W_Complete application|suspend', 'W_Complete application|resume')","('exit', ('W_Complete application|suspend', 'W_Complete application|resume'))",135,11
28,28,exit,"('W_Complete application|resume', 'W_Complete application|suspend')","('exit', ('W_Complete application|resume', 'W_Complete application|suspend'))",91,11
29,29,workload,"('O_Created', 'O_Sent (mail and online)')","('workload', ('O_Created', 'O_Sent (mail and online)'))",7.6875,11
30,30,workload,"('W_Call after offers|schedule', 'W_Call after offers|start')","('workload', ('W_Call after offers|schedule', 'W_Call after offers|start'))",7.25,11
31,31,workload,"('W_Call after offers|start', 'A_Complete')","('workload', ('W_Call after offers|start', 'A_Complete'))",7.25,11
32,32,workload,"('A_Complete', 'W_Call after offers|suspend')","('workload', ('A_Complete', 'W_Call after offers|suspend'))",6.9375,11
33,33,workload,"('W_Complete application|start', 'A_Concept')","('workload', ('W_Complete application|start', 'A_Concept'))",4.1,11
34,34,workload,"('W_Complete application|resume', 'W_Complete application|suspend')","('workload', ('W_Complete application|resume', 'W_Complete application|suspend'))",7.583333333333333,11
35,35,handover,"('W_Call after offers|suspend', 'W_Call after offers|resume')","('handover', ('W_Call after offers|suspend', 'W_Call after offers|resume'))",11.0,12
36,36,workload,"('W_Call after offers|resume', 'W_Call after offers|suspend')","('workload', ('W_Call after offers|resume', 'W_Call after offers|suspend'))",71.0,12
37,37,enter,"('W_Complete application|resume', 'W_Complete application|suspend')","('enter', ('W_Complete application|resume', 'W_Complete application|suspend'))",79,13
38,38,exit,"('W_Complete application|resume', 'W_Complete application|suspend')","('exit', ('W_Complete application|resume', 'W_Complete application|suspend'))",79,13
39,39,handover,"('W_Call after offers|suspend', 'W_Call after offers|resume')","('handover', ('W_Call after offers|suspend', 'W_Call after offers|resume'))",12.5,14
40,40,enter,"('W_Complete application|start', 'W_Complete application|suspend')","('enter', ('W_Complete application|start', 'W_Complete application|suspend'))",68,17
41,41,enter,"('W_Complete application|suspend', 'W_Complete application|resume')","('enter', ('W_Complete application|suspend', 'W_Complete application|resume'))",113,17
42,42,enter,"('W_Complete application|schedule', 'W_Complete application|start')","('enter', ('W_Complete application|schedule', 'W_Complete application|start'))",81,17
43,43,exit,"('W_Complete application|start', 'W_Complete application|suspend')","('exit', ('W_Complete application|start', 'W_Complete application|suspend'))",68,17
44,44,exit,"('W_Complete application|schedule', 'W_Complete application|start')","('exit', ('W_Complete application|schedule', 'W_Complete application|start'))",81,17
45,45,workload,"('W_Call after offers|resume', 'W_Call after offers|suspend')","('workload', ('W_Call after offers|resume', 'W_Call after offers|suspend'))",60.0,17
46,46,workload,"('W_Complete application|schedule', 'W_Complete application|start')","('workload', ('W_Complete application|schedule', 'W_Complete application|start'))",4.05,17
47,47,enter,"('W_Complete application|resume', 'W_Complete application|suspend')","('enter', ('W_Complete application|resume', 'W_Complete application|suspend'))",81,18
48,48,exit,"('W_Complete application|resume', 'W_Complete application|suspend')","('exit', ('W_Complete application|resume', 'W_Complete application|suspend'))",81,18
49,49,workload,"('W_Validate application|suspend', 'W_Validate application|resume')","('workload', ('W_Validate application|suspend', 'W_Validate application|resume'))",8.428571428571429,18
50,50,workload,"('W_Complete application|resume', 'W_Complete application|suspend')","('workload', ('W_Complete application|resume', 'W_Complete application|suspend'))",6.75,18
51,51,enter,"('O_Accepted', 'A_Pending')","('enter', ('O_Accepted', 'A_Pending'))",111,21
52,52,exit,"('O_Accepted', 'A_Pending')","('exit', ('O_Accepted', 'A_Pending'))",111,21
53,53,handover,"('W_Call incomplete files|suspend', 'W_Call incomplete files|ate_abort')","('handover', ('W_Call incomplete files|suspend', 'W_Call incomplete files|ate_abort'))",5.0,22
54,54,handover,"('W_Complete application|suspend', 'W_Complete application|resume')","('handover', ('W_Complete application|suspend', 'W_Complete application|resume'))",2.7777777777777777,22
55,55,workload,"('W_Complete application|start', 'W_Complete application|suspend')","('workload', ('W_Complete application|start', 'W_Complete application|suspend'))",5.5,22
56,56,workload,"('A_Accepted', 'O_Create Offer')","('workload', ('A_Accepted', 'O_Create Offer'))",7.333333333333333,22
57,57,workload,"('O_Create Offer', 'O_Created')","('workload', ('O_Create Offer', 'O_Created'))",9.666666666666666,22
58,58,workload,"('O_Created', 'O_Sent (mail and online)')","('workload', ('O_Created', 'O_Sent (mail and online)'))",8.333333333333334,22
59,59,workload,"('O_Sent (mail and online)', 'W_Complete application|ate_abort')","('workload', ('O_Sent (mail and online)', 'W_Complete application|ate_abort'))",3.1666666666666665,22
60,60,workload,"('W_Complete application|ate_abort', 'W_Call after offers|schedule')","('workload', ('W_Complete application|ate_abort', 'W_Call after offers|schedule'))",3.1666666666666665,22
61,61,workload,"('W_Call after offers|schedule', 'W_Call after offers|start')","('workload', ('W_Call after offers|schedule', 'W_Call after offers|start'))",8.0,22
62,62,workload,"('W_Call after offers|start', 'A_Complete')","('workload', ('W_Call after offers|start', 'A_Complete'))",8.0,22
63,63,workload,"('A_Complete', 'W_Call after offers|suspend')","('workload', ('A_Complete', 'W_Call after offers|suspend'))",7.888888888888889,22
64,64,workload,"('W_Validate application|schedule', 'W_Validate application|start')","('workload', ('W_Validate application|schedule', 'W_Validate application|start'))",16.0,22
65,65,workload,"('W_Validate application|start', 'A_Validating')","('workload', ('W_Validate application|start', 'A_Validating'))",16.0,22
66,66,workload,"('W_Call incomplete files|ate_abort', 'W_Validate application|schedule')","('workload', ('W_Call incomplete files|ate_abort', 'W_Validate application|schedule'))",13.0,22
67,67,workload,"('A_Validating', 'W_Validate application|suspend')","('workload', ('A_Validating', 'W_Validate application|suspend'))",12.0,22
68,68,workload,"('O_Sent (mail and online)', 'W_Complete application|complete')","('workload', ('O_Sent (mail and online)', 'W_Complete application|complete'))",5.777777777777778,22
69,69,workload,"('W_Complete application|complete', 'W_Call after offers|schedule')","('workload', ('W_Complete application|complete', 'W_Call after offers|schedule'))",5.777777777777778,22
70,70,workload,"('W_Complete application|resume', 'W_Complete application|suspend')","('workload', ('W_Complete application|resume', 'W_Complete application|suspend'))",7.333333333333333,22
71,71,enter,"('W_Complete application|start', 'W_Complete application|suspend')","('enter', ('W_Complete application|start', 'W_Complete application|suspend'))",73,24
72,72,enter,"('A_Accepted', 'O_Create Offer')","('enter', ('A_Accepted', 'O_Create Offer'))",142,24
73,73,enter,"('O_Create Offer', 'O_Created')","('enter', ('O_Create Offer', 'O_Created'))",195,24
74,74,enter,"('O_Created', 'O_Sent (mail and online)')","('enter', ('O_Created', 'O_Sent (mail and online)'))",161,24
75,75,enter,"('O_Sent (mail and online)', 'W_Complete application|ate_abort')","('enter', ('O_Sent (mail and online)', 'W_Complete application|ate_abort'))",54,24
76,76,enter,"('W_Complete application|ate_abort', 'W_Call after offers|schedule')","('enter', ('W_Complete application|ate_abort', 'W_Call after offers|schedule'))",54,24
77,77,enter,"('W_Call after offers|schedule', 'W_Call after offers|start')","('enter', ('W_Call after offers|schedule', 'W_Call after offers|start'))",151,24
78,78,enter,"('W_Call after offers|start', 'A_Complete')","('enter', ('W_Call after offers|start', 'A_Complete'))",151,24
79,79,enter,"('A_Complete', 'W_Call after offers|suspend')","('enter', ('A_Complete', 'W_Call after offers|suspend'))",141,24
80,80,enter,"('W_Complete application|suspend', 'W_Complete application|resume')","('enter', ('W_Complete application|suspend', 'W_Complete application|resume'))",144,24
81,81,enter,"('O_Sent (mail and online)', 'W_Complete application|complete')","('enter', ('O_Sent (mail and online)', 'W_Complete application|complete'))",91,24
82,82,enter,"('W_Complete application|complete', 'W_Call after offers|schedule')","('enter', ('W_Complete application|complete', 'W_Call after offers|schedule'))",94,24
83,83,enter,"('W_Complete application|resume', 'W_Complete application|suspend')","('enter', ('W_Complete application|resume', 'W_Complete application|suspend'))",96,24
84,84,exit,"('A_Concept', 'W_Complete application|start')","('exit', ('A_Concept', 'W_Complete application|start'))",76,24
85,85,exit,"('W_Complete application|start', 'W_Complete application|suspend')","('exit', ('W_Complete application|start', 'W_Complete application|suspend'))",73,24
86,86,exit,"('A_Accepted', 'O_Create Offer')","('exit', ('A_Accepted', 'O_Create Offer'))",143,24
87,87,exit,"('O_Create Offer', 'O_Created')","('exit', ('O_Create Offer', 'O_Created'))",195,24
88,88,exit,"('O_Created', 'O_Sent (mail and online)')","('exit', ('O_Created', 'O_Sent (mail and online)'))",161,24
89,89,exit,"('O_Sent (mail and online)', 'W_Complete application|ate_abort')","('exit', ('O_Sent (mail and online)', 'W_Complete application|ate_abort'))",54,24
90,90,exit,"('W_Complete application|ate_abort', 'W_Call after offers|schedule')","('exit', ('W_Complete application|ate_abort', 'W_Call after offers|schedule'))",54,24
91,91,exit,"('W_Call after offers|schedule', 'W_Call after offers|start')","('exit', ('W_Call after offers|schedule', 'W_Call after offers|start'))",151,24
92,92,exit,"('W_Call after offers|start', 'A_Complete')","('exit', ('W_Call after offers|start', 'A_Complete'))",151,24
93,93,exit,"('A_Complete', 'W_Call after offers|suspend')","('exit', ('A_Complete', 'W_Call after offers|suspend'))",141,24
94,94,exit,"('W_Complete application|suspend', 'W_Complete application|resume')","('exit', ('W_Complete application|suspend', 'W_Complete application|resume'))",144,24
95,95,exit,"('O_Sent (mail and online)', 'W_Complete application|complete')","('exit', ('O_Sent (mail and online)', 'W_Complete application|complete'))",91,24
96,96,exit,"('W_Complete application|complete', 'W_Call after offers|schedule')","('exit', ('W_Complete application|complete', 'W_Call after offers|schedule'))",94,24
97,97,exit,"('W_Complete application|resume', 'W_Complete application|suspend')","('exit', ('W_Complete application|resume', 'W_Complete application|suspend'))",96,24
98,98,workload,"('W_Validate application|suspend', 'W_Validate application|ate_abort')","('workload', ('W_Validate application|suspend', 'W_Validate application|ate_abort'))",2.5,24
99,99,workload,"('W_Complete application|resume', 'W_Complete application|suspend')","('workload', ('W_Complete application|resume', 'W_Complete application|suspend'))",6.8,25
100,100,workload,"('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')","('workload', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume'))",12.5,26
101,101,enter,"('O_Create Offer', 'O_Created')","('enter', ('O_Create Offer', 'O_Created'))",544,28
102,102,enter,"('O_Created', 'O_Sent (mail and online)')","('enter', ('O_Created', 'O_Sent (mail and online)'))",496,28
103,103,exit,"('O_Create Offer', 'O_Created')","('exit', ('O_Create Offer', 'O_Created'))",544,28
104,104,exit,"('O_Created', 'O_Sent (mail and online)')","('exit', ('O_Created', 'O_Sent (mail and online)'))",496,28
105,105,handover,"('W_Call after offers|suspend', 'W_Call after offers|ate_abort')","('handover', ('W_Call after offers|suspend', 'W_Call after offers|ate_abort'))",4.8,28
106,106,workload,"('O_Create Offer', 'O_Created')","('workload', ('O_Create Offer', 'O_Created'))",27.2,28
107,107,workload,"('O_Created', 'O_Sent (mail and online)')","('workload', ('O_Created', 'O_Sent (mail and online)'))",26.105263157894736,28
108,108,workload,"('W_Call incomplete files|suspend', 'W_Call incomplete files|resume')","('workload', ('W_Call incomplete files|suspend', 'W_Call incomplete files|resume'))",13.5,28
109,109,workload,"('W_Complete application|start', 'W_Complete application|suspend')","('workload', ('W_Complete application|start', 'W_Complete application|suspend'))",5.428571428571429,29
110,110,workload,"('W_Complete application|resume', 'W_Complete application|suspend')","('workload', ('W_Complete application|resume', 'W_Complete application|suspend'))",6.75,29
111,111,enter,"('A_Create Application', 'A_Submitted')","('enter', ('A_Create Application', 'A_Submitted'))",87,31
112,112,enter,"('A_Submitted', 'W_Handle leads|schedule')","('enter', ('A_Submitted', 'W_Handle leads|schedule'))",87,31
113,113,enter,"('W_Handle leads|schedule', 'W_Handle leads|withdraw')","('enter', ('W_Handle leads|schedule', 'W_Handle leads|withdraw'))",70,31
114,114,enter,"('W_Handle leads|withdraw', 'W_Complete application|schedule')","('enter', ('W_Handle leads|withdraw', 'W_Complete application|schedule'))",70,31
115,115,enter,"('W_Complete application|schedule', 'A_Concept')","('enter', ('W_Complete application|schedule', 'A_Concept'))",70,31
116,116,enter,"('A_Concept', 'W_Complete application|start')","('enter', ('A_Concept', 'W_Complete application|start'))",61,31
117,117,enter,"('W_Complete application|start', 'W_Complete application|suspend')","('enter', ('W_Complete application|start', 'W_Complete application|suspend'))",62,31
118,118,enter,"('A_Accepted', 'O_Create Offer')","('enter', ('A_Accepted', 'O_Create Offer'))",152,31
119,119,enter,"('O_Create Offer', 'O_Created')","('enter', ('O_Create Offer', 'O_Created'))",239,31
120,120,enter,"('O_Created', 'O_Sent (mail and online)')","('enter', ('O_Created', 'O_Sent (mail and online)'))",202,31
121,121,enter,"('O_Sent (mail and online)', 'W_Complete application|ate_abort')","('enter', ('O_Sent (mail and online)', 'W_Complete application|ate_abort'))",61,31
122,122,enter,"('W_Complete application|ate_abort', 'W_Call after offers|schedule')","('enter', ('W_Complete application|ate_abort', 'W_Call after offers|schedule'))",61,31
123,123,enter,"('W_Call after offers|schedule', 'W_Call after offers|start')","('enter', ('W_Call after offers|schedule', 'W_Call after offers|start'))",163,31
124,124,enter,"('W_Call after offers|start', 'A_Complete')","('enter', ('W_Call after offers|start', 'A_Complete'))",163,31
125,125,enter,"('A_Complete', 'W_Call after offers|suspend')","('enter', ('A_Complete', 'W_Call after offers|suspend'))",161,31
126,126,enter,"('W_Call after offers|suspend', 'W_Call after offers|resume')","('enter', ('W_Call after offers|suspend', 'W_Call after offers|resume'))",143,31
127,127,enter,"('W_Complete application|suspend', 'W_Complete application|resume')","('enter', ('W_Complete application|suspend', 'W_Complete application|resume'))",117,31
128,128,enter,"('O_Sent (mail and online)', 'W_Complete application|complete')","('enter', ('O_Sent (mail and online)', 'W_Complete application|complete'))",95,31
129,129,enter,"('W_Complete application|complete', 'W_Call after offers|schedule')","('enter', ('W_Complete application|complete', 'W_Call after offers|schedule'))",95,31
130,130,enter,"('W_Complete application|schedule', 'W_Complete application|start')","('enter', ('W_Complete application|schedule', 'W_Complete application|start'))",97,31
131,131,enter,"('W_Complete application|start', 'A_Concept')","('enter', ('W_Complete application|start', 'A_Concept'))",69,31
132,132,exit,"('A_Create Application', 'A_Submitted')","('exit', ('A_Create Application', 'A_Submitted'))",87,31
133,133,exit,"('A_Submitted', 'W_Handle leads|schedule')","('exit', ('A_Submitted', 'W_Handle leads|schedule'))",87,31
134,134,exit,"('W_Handle leads|schedule', 'W_Handle leads|withdraw')","('exit', ('W_Handle leads|schedule', 'W_Handle leads|withdraw'))",70,31
